"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C18orf34",-3.51302629100097,2.84816482246078,-25.0676183915448,4.90376257082433e-112,5.27090290989651e-110,244.947488697268
"PAQR4",2.49640720945481,9.77863781998349,25.0518672435011,6.36162783110627e-112,6.80230309232353e-110,244.687954621805
"CKAP2L",3.25504534855827,6.79071436829067,25.0373084669857,8.09152052016447e-112,8.607197734662e-110,244.448113221942
"FXYD1",-4.94767222808617,4.31350033030553,-24.953704964758,3.21758250049668e-111,3.40499838841221e-109,243.07168458714
"ALDH1L1",-5.42274673911305,4.24939355904211,-24.9398551345949,4.04372865020248e-111,4.25732047121317e-109,242.843805745688
"ANLN",3.32004395800349,9.01164244426094,24.9143762956334,6.15638448922304e-111,6.44849865121169e-109,242.424694143853
"EPR1",3.74030885109309,7.88319570602808,24.8609942667824,1.48453127212884e-110,1.5470775135434e-108,241.547037770327
"LMOD1",-3.07137498760576,8.77870966143683,-24.8494254601981,1.79637849708776e-110,1.86260861339454e-108,241.356914426337
"MKI67",3.19588804554687,10.3489803468208,24.8179389860476,3.01795325186808e-110,3.11349649552019e-108,240.839606279139
"ADCYAP1R1",-3.2982547417998,1.76037630057803,-24.7686135668877,6.79979683329083e-110,6.97999144937304e-108,240.029640311715
"RAG1AP1",1.7854281845224,10.5955768786127,24.7680811277216,6.85966315255439e-110,7.00641216527073e-108,240.020900060433
"C14orf139",-2.87129813926339,6.54121238645747,-24.7566884719656,8.27469626489172e-110,8.40987694644688e-108,239.833898677956
"GTSE1",3.00672176430138,7.23827952105698,24.7141588148924,1.66609924756906e-109,1.68497623411787e-107,239.136056534161
"AQP7",-5.9024172943754,4.40153129644922,-24.7091654741913,1.80873883456783e-109,1.82026511145478e-107,239.054149744041
"CDCA8",2.77990855123223,8.24513889347647,24.7074701722747,1.85989076417111e-109,1.86261255553331e-107,239.026342593597
"MME",-4.22716196644758,8.66696193228737,-24.6938817977176,2.32571071626966e-109,2.31780781577749e-107,238.803482217846
"ACSM5",-3.58896865134578,4.33334426094137,-24.6608488862159,4.00361911224285e-109,3.97073914851911e-107,238.261883781887
"ABCA9",-4.4025687377057,5.84255516102395,-24.6347562797757,6.14771896021871e-109,6.06791683910048e-107,237.834245648378
"CDC20",3.44205146811879,8.71781890999174,24.621334423756,7.6647899776128e-109,7.52909752346368e-107,237.614329841917
"KIF14",3.61886953653504,6.99377605284888,24.6196430986246,7.88078229850493e-109,7.70440288515743e-107,237.586620458531
"TPM3",1.15291304034925,13.2942022295623,24.6082487906276,9.50321333542503e-109,9.24649145859128e-107,237.399961227731
"C14orf180",-5.39253602488446,2.71602436003303,-24.5792229824427,1.5308073173544e-108,1.48242802949462e-106,236.924595941483
"LIFR",-2.9989905995618,9.27617473162675,-24.5546387266095,2.29205156327029e-108,2.2091933612178e-106,236.522117434504
"DCT",-2.7464933870684,0.986471015689513,-24.5313076073281,3.36154267500885e-108,3.22488182794074e-106,236.140278793605
"TACC3",2.28769368612963,9.38183162675475,24.5276661142775,3.56855189449855e-108,3.40755211135141e-106,236.080692821923
"KIF23",2.6403404228438,8.57256193228737,24.5265419990395,3.63499209936752e-108,3.45492536111181e-106,236.062299453775
"FAM180B",-3.43285959954581,1.8567769611891,-24.4950120047773,6.09768088940098e-108,5.76891191978811e-106,235.546504066468
"ACSS2",-1.53583726910714,9.79240511973576,-24.4867532494633,6.98224387940725e-108,6.5754801304693e-106,235.411436870654
"ATP1A2",-5.3176516144509,5.04135235342692,-24.4430145307065,1.43038256202783e-107,1.34090200906079e-105,234.69637085365
"CDCA5",2.87794347422794,8.50338720066061,24.4104215289837,2.44017399109001e-107,2.27712600168536e-105,234.163802155562
"LMNB1",2.3670934062595,9.84992881915772,24.3863123440262,3.62194524214291e-107,3.36463962991828e-105,233.770013686154
"KIF11",2.44626117641414,9.16461940545004,24.3518232169438,6.37103346805847e-107,5.89177104050633e-105,233.206913911391
"SEL1L2",-1.97886986198404,0.529960776218002,-24.3483141925959,6.74772819564456e-107,6.21214618190954e-105,233.149637711758
"CYP3A4",-1.72768038989909,0.658707514450867,-24.3354755349243,8.32577495618768e-107,7.6307214218988e-105,232.940102175375
"AURKA",2.81888301668024,8.36204880264244,24.3250986018454,9.86688286965185e-107,9.00298245839789e-105,232.770771223467
"CDC45",3.4359163116314,6.85469463253509,24.3212453670027,1.05090772093226e-106,9.5465201374953e-105,232.707900364069
