"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140013","meiotic nuclear division","45/1072","203/18860",0.221674876847291,3.89998897139916,10.1980379088673,1.86481208317915e-15,7.75892416894423e-13,6.80580967273975e-13,"NUF2/PLK1/ZWINT/ASPM/CCNB2/CKS2/TOP2A/NDC80/PTTG1/SKA3/CDC20/AURKA/RAD51/NCAPH/ESPL1/RAD54L/SKA1/CCNE2/TTK/EME1/KIF18A/TRIP13/MND1/RAD51AP1/FBXO43/FANCD2/SMC4/FANCA/HSF2BP/RAD54B/RMI1/DCAF13/PTTG3P/SYCE2/BRIP1/CCNE1/TUBB8/PSMC3IP/BRCA2/SPIRE2/TEX19/MYBL1/EME2/MAPK15/SYCP2",45
"GO:0051321","meiotic cell cycle","56/1072","299/18860",0.187290969899666,3.29506314580941,9.8202537632105,1.89753240293671e-15,7.75892416894423e-13,6.80580967273975e-13,"NEK2/PKMYT1/CDC25C/NUF2/PLK1/ZWINT/ASPM/CCNB2/CKS2/TOP2A/NDC80/EXO1/PTTG1/SKA3/CDC20/AURKA/PRR19/RAD51/NCAPH/ESPL1/RAD54L/SKA1/CCNE2/TTK/EME1/KIF18A/TRIP13/MND1/RAD51AP1/FBXO43/FANCD2/SMC4/FANCA/HSF2BP/RAD54B/CDC25A/RMI1/DCAF13/XRCC2/PTTG3P/SYCE2/ANAPC11/BRIP1/OVOL1/CCNE1/TUBB8/PSMC3IP/BRCA2/RSPH1/SPIRE2/TEX19/MYBL1/EME2/MAPK15/SYCP2/SMC1B",56
"GO:0000075","cell cycle checkpoint signaling","43/1072","187/18860",0.229946524064171,4.04551440657674,10.2746627432717,1.95742313596497e-15,7.75892416894423e-13,6.80580967273975e-13,"SPC25/NUF2/DTL/BUB1/CDK1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/CDC45/RAD51/AURKB/SKA1/SPC24/TTK/E2F1/CDT1/EME1/MAD2L1/CDC6/TIMELESS/TRIP13/CLSPN/INTS7/FANCD2/DNA2/BLM/ZWILCH/DONSON/WDR76/CHEK1/BRIP1/MUC1/BRCA2/IER3/EME2/BRSK1",43
"GO:0051304","chromosome separation","28/1072","83/18860",0.337349397590361,5.93508361805431,11.0614897483555,4.78140434513278e-15,1.75989832789066e-12,1.5437105457143e-12,"SPC25/NUF2/UBE2C/DLGAP5/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/NCAPG/CCNB1/BIRC5/SKA3/CDCA8/CDC20/NCAPH/ESPL1/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/SMC4/ZWILCH/ANAPC11/MAPK15",28
"GO:0010965","regulation of mitotic sister chromatid separation","24/1072","61/18860",0.39344262295082,6.92194763885491,11.3724822903394,7.90900157321572e-15,2.65168249844034e-12,2.32594700037849e-12,"SPC25/NUF2/UBE2C/DLGAP5/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/ESPL1/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH/ANAPC11",24
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","40/1072","170/18860",0.235294117647059,4.13959613696225,10.0945452369342,8.23344070930437e-15,2.65168249844034e-12,2.32594700037849e-12,"NEK2/KIF4A/UHRF1/SPC25/NUF2/NUSAP1/DLGAP5/WDR62/TPX2/CDK1/PLK1/POC1A/KIFC1/NDC80/CCNB1/BIRC5/CDCA8/CDC20/TACC3/KIF23/KIF11/AURKA/ESPL1/AURKB/PRC1/KIF15/MYBL2/CENPA/TTK/CENPE/MAD2L1/RACGAP1/PSRC1/RCC1/STIL/FAM110A/KIF4B/STMN1/GPSM2/FSD1",40
"GO:1901987","regulation of cell cycle phase transition","72/1072","468/18860",0.153846153846154,2.70665901262916,9.17800665961965,8.99185802851249e-15,2.7255908482897e-12,2.39077636993391e-12,"PKMYT1/SPC25/CDC25C/NUF2/UBE2C/DLGAP5/DTL/BUB1/CDK1/PLK1/ZWINT/RRM2/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/ANLN/CDCA8/CDC20/KIF14/AURKA/CDC45/RAD51/EZH2/ESPL1/AURKB/SKA1/FAM83D/SPC24/CCNE2/TTK/E2F1/CENPE/CDK5/CDT1/EME1/E2F7/INHBA/MAD2L1/CDC6/TIMELESS/TRIP13/CLSPN/STIL/INTS7/FANCD2/DNA2/BLM/ZWILCH/PKP3/CDC7/CDC25A/DONSON/DBF4/WDR76/PSME2/CHEK1/ANAPC11/BRIP1/CDKN2D/OVOL1/CCNE1/MUC1/BRCA2/CDKN2A/IER3/EME2/MAPK15/TERT/BRSK1",72
"GO:0090068","positive regulation of cell cycle process","52/1072","278/18860",0.18705035971223,3.29083002254912,9.44631010956011,2.05721337461706e-14,5.88934473300094e-12,5.16589136292727e-12,"CDC25C/UBE2C/NUSAP1/DLGAP5/DTL/BUB1/CDK1/RRM2/POC1A/NDC80/NCAPG/CCNB1/BIRC5/SKA3/CDCA8/CDC20/KIF14/KIF23/AURKA/NCAPH/EZH2/ESPL1/SPAG5/AURKB/SKA1/FAM83D/CCNE2/E2F8/CIT/E2F7/MAD2L1/CDC6/RACGAP1/ECT2/RAD51AP1/FEN1/STIL/SMC4/PLK4/PKP3/CDC7/CDC25A/LEF1/DBF4/RAB11FIP4/CHEK1/ANAPC11/CCNE1/GPSM2/MAPK15/TERT/CXCR5",52
"GO:0007052","mitotic spindle organization","35/1072","137/18860",0.255474452554745,4.4946344917747,10.0778406379038,2.79983039941362e-14,7.2907061835368e-12,6.39510808259002e-12,"NEK2/KIF4A/UHRF1/SPC25/NUF2/DLGAP5/WDR62/TPX2/PLK1/POC1A/KIFC1/NDC80/CCNB1/BIRC5/CDCA8/CDC20/TACC3/KIF23/KIF11/AURKA/AURKB/PRC1/KIF15/MYBL2/TTK/CENPE/RACGAP1/PSRC1/RCC1/STIL/FAM110A/KIF4B/STMN1/GPSM2/FSD1",35
"GO:0051306","mitotic sister chromatid separation","24/1072","64/18860",0.375,6.59748134328358,11.0114138686997,2.82969384185399e-14,7.2907061835368e-12,6.39510808259002e-12,"SPC25/NUF2/UBE2C/DLGAP5/BUB1/PLK1/ZWINT/BUB1B/NDC80/CENPF/CCNB1/BIRC5/SKA3/CDCA8/CDC20/ESPL1/AURKB/SKA1/SPC24/TTK/MAD2L1/TRIP13/ZWILCH/ANAPC11",24
